window_end,p_btc_up,p_eth_up,btc_up_resolved,eth_up_resolved,spread,spread_bucket
1788548700,0.965,0.965,True,True,0.0,0.0
1788548100,0.495,0.285,True,True,0.21000000000000002,0.2
1788551400,0.785,0.595,True,True,0.19000000000000006,0.2
1788550200,0.635,0.785,True,True,-0.15000000000000002,-0.15000000000000002
1788549300,0.065,0.065,False,True,0.0,0.0
1788556200,0.565,0.605,True,True,-0.040000000000000036,-0.05
1788546600,0.235,0.315,False,False,-0.08000000000000002,-0.1
1788555300,0.085,0.025,False,False,0.060000000000000005,0.05
1788547200,0.055,0.205,False,True,-0.15,-0.15000000000000002
1788557100,0.565,0.7,False,False,-0.135,-0.15000000000000002
1788550800,0.165,0.175,False,False,-0.009999999999999981,-0.0
1788556500,0.835,0.725,True,True,0.10999999999999999,0.1
1788551100,0.715,0.825,True,True,-0.10999999999999999,-0.1
1788548400,0.235,0.305,True,True,-0.07,-0.05
1788553200,0.755,0.785,True,True,-0.030000000000000027,-0.05
1788549000,0.725,0.735,True,False,-0.010000000000000009,-0.0
1788550500,0.025,0.055,False,False,-0.03,-0.05
1788554100,0.265,0.445,False,False,-0.18,-0.2
1788553800,0.115,0.385,False,False,-0.27,-0.25
1788552900,0.665,0.605,True,False,0.06000000000000005,0.05
1788549900,0.615,0.545,True,True,0.06999999999999995,0.05
1788552600,0.175,0.105,False,False,0.06999999999999999,0.05
1788555000,0.645,0.755,True,True,-0.10999999999999999,-0.1
1788551700,0.295,0.575,False,False,-0.27999999999999997,-0.30000000000000004
1788547500,0.915,0.575,True,True,0.3400000000000001,0.35000000000000003
1788554400,0.865,0.945,False,True,-0.07999999999999996,-0.1
1788555900,0.745,0.805,True,True,-0.06000000000000005,-0.05
1788552300,0.905,0.885,True,True,0.020000000000000018,0.0
1788552000,0.985,0.895,True,True,0.08999999999999997,0.1
1788546900,0.865,0.925,True,True,-0.06000000000000005,-0.05
1788549600,0.845,0.815,True,True,0.030000000000000027,0.05
1788553500,0.235,0.655,False,False,-0.42000000000000004,-0.4
1788547800,0.165,0.315,False,False,-0.15,-0.15000000000000002
1788556800,0.825,0.715,True,True,0.10999999999999999,0.1
1788546300,0.865,0.79,True,True,0.07499999999999996,0.05
1788557400,0.295,0.265,False,False,0.02999999999999997,0.05
1788554700,0.145,0.395,False,False,-0.25,-0.25
1788558000,0.425,0.625,True,False,-0.2,-0.2
1788555600,0.265,0.255,False,False,0.010000000000000009,0.0
1788557700,0.825,0.865,True,True,-0.040000000000000036,-0.05
1788559500,0.705,0.825,True,True,-0.12,-0.1
1788559200,0.785,0.715,True,True,0.07000000000000006,0.05
1788561000,0.205,0.175,False,False,0.03,0.05
1788561300,0.665,0.645,False,True,0.020000000000000018,0.0
1788560700,0.355,0.455,False,True,-0.10000000000000003,-0.1
1788558600,0.655,0.565,False,False,0.09000000000000008,0.1
1788558300,0.425,0.935,False,True,-0.51,-0.5
1788561600,0.725,0.935,True,True,-0.21000000000000008,-0.2
1788563100,0.235,0.135,True,False,0.09999999999999998,0.1
1788558900,0.725,0.445,False,False,0.27999999999999997,0.30000000000000004
1788562500,0.685,0.815,True,True,-0.1299999999999999,-0.15000000000000002
1788559800,0.295,0.24,False,False,0.05499999999999999,0.05
1788561900,0.385,0.285,False,False,0.10000000000000003,0.1
1788560100,0.515,0.255,True,False,0.26,0.25
1788565200,0.505,0.915,False,True,-0.41000000000000003,-0.4
1788562800,0.555,0.375,False,False,0.18000000000000005,0.2
1788562200,0.385,0.115,False,False,0.27,0.25
1788564600,0.875,0.635,True,True,0.24,0.25
1788564300,0.965,0.995,True,True,-0.030000000000000027,-0.05
1788563400,0.615,0.315,True,False,0.3,0.30000000000000004
1788567900,0.695,0.485,True,False,0.20999999999999996,0.2
1788560400,0.575,0.325,True,False,0.24999999999999994,0.25
1788566100,0.365,0.305,False,True,0.06,0.05
1788568200,0.835,0.655,True,False,0.17999999999999994,0.2
1788563700,0.575,0.605,False,False,-0.030000000000000027,-0.05
1788566400,0.965,0.925,True,True,0.039999999999999925,0.05
1788564000,0.535,0.775,True,True,-0.24,-0.25
1788566700,0.195,0.155,False,False,0.04000000000000001,0.05
1788565800,0.245,0.835,False,True,-0.59,-0.6000000000000001
1788567300,0.975,0.975,True,True,0.0,0.0
1788569400,0.035,0.025,False,False,0.010000000000000002,0.0
1788569100,0.805,0.785,True,True,0.020000000000000018,0.0
1788568500,0.945,0.855,True,False,0.08999999999999997,0.1
1788568800,0.625,0.895,False,True,-0.27,-0.25
1788567000,0.095,0.065,False,False,0.03,0.05
1788570900,0.615,0.635,True,False,-0.020000000000000018,-0.0
1788567600,0.025,0.125,False,False,-0.1,-0.1
1788571500,0.405,0.265,False,False,0.14,0.15000000000000002
1788564900,0.075,0.055,False,False,0.019999999999999997,0.0
1788573900,0.125,0.135,False,False,-0.010000000000000009,-0.0
1788570600,0.405,0.565,True,True,-0.15999999999999992,-0.15000000000000002
1788574200,0.835,0.795,True,True,0.039999999999999925,0.05
1788574800,0.565,0.565,True,True,0.0,0.0
1788573000,0.855,0.805,False,False,0.04999999999999993,0.05
1788573300,0.355,0.665,False,True,-0.31000000000000005,-0.30000000000000004
1788571800,0.115,0.185,False,True,-0.06999999999999999,-0.05
1788570300,0.725,0.815,True,True,-0.08999999999999997,-0.1
1788574500,0.805,0.715,True,True,0.09000000000000008,0.1
1788570000,0.155,0.175,False,False,-0.01999999999999999,-0.0
1788572100,0.905,0.695,True,True,0.21000000000000008,0.2
1788576600,0.045,0.065,False,False,-0.020000000000000004,-0.0
1788576300,0.915,0.805,True,True,0.10999999999999999,0.1
1788565500,0.485,0.525,False,False,-0.040000000000000036,-0.05
1788575100,0.515,0.695,True,True,-0.17999999999999994,-0.2
1788569700,0.905,0.915,True,True,-0.010000000000000009,-0.0
1788577500,0.605,0.385,False,False,0.21999999999999997,0.2
1788577200,0.705,0.755,True,True,-0.050000000000000044,-0.05
1788571200,0.675,0.495,True,False,0.18000000000000005,0.2
1788575700,0.875,0.875,True,True,0.0,0.0
1788572400,0.065,0.265,False,False,-0.2,-0.2
1788575400,0.685,0.575,False,False,0.1100000000000001,0.1
1788578100,0.665,0.785,True,True,-0.12,-0.1
1788578400,0.905,0.655,True,True,0.25,0.25
1788579000,0.275,0.245,False,False,0.030000000000000027,0.05
1788580500,0.155,0.155,False,False,0.0,0.0
1788579900,0.525,0.085,True,False,0.44,0.45
1788579600,0.725,0.745,True,True,-0.020000000000000018,-0.0
1788576000,0.885,0.755,True,True,0.13,0.15000000000000002
1788573600,0.155,0.185,False,False,-0.03,-0.05
1788584400,0.255,0.395,False,False,-0.14,-0.15000000000000002
1788583200,0.165,0.115,False,False,0.05,0.05
1788578700,0.225,0.235,True,True,-0.009999999999999981,-0.0
1788577800,0.475,0.555,False,False,-0.08000000000000007,-0.1
1788572700,0.945,0.645,True,False,0.29999999999999993,0.30000000000000004
1788576900,0.315,0.275,False,True,0.03999999999999998,0.05
1788584100,0.145,0.305,False,True,-0.16,-0.15000000000000002
1788581100,0.065,0.265,False,False,-0.2,-0.2
1788579300,0.775,0.875,True,True,-0.09999999999999998,-0.1
1788583500,0.365,0.585,True,True,-0.21999999999999997,-0.2
1788582900,0.165,0.255,False,False,-0.09,-0.1
1788580800,0.115,0.055,False,False,0.060000000000000005,0.05
1788581700,0.035,0.065,False,False,-0.03,-0.05
1788582000,0.895,0.855,True,True,0.040000000000000036,0.05
1788582300,0.515,0.385,True,False,0.13,0.15000000000000002
1788581400,0.935,0.865,True,True,0.07000000000000006,0.05
1788586500,0.835,0.685,True,False,0.1499999999999999,0.15000000000000002
1788586800,0.115,0.27,False,False,-0.15500000000000003,-0.15000000000000002
1788580200,0.725,0.795,True,True,-0.07000000000000006,-0.05
1788588900,0.915,0.845,True,True,0.07000000000000006,0.05
1788588600,0.435,0.505,False,False,-0.07,-0.05
1788582600,0.455,0.26,False,True,0.195,0.2
1788585300,0.965,0.955,True,True,0.010000000000000009,0.0
1788585900,0.475,0.545,False,False,-0.07000000000000006,-0.05
1788588300,0.755,0.795,True,True,-0.040000000000000036,-0.05
1788589200,0.395,0.385,False,False,0.010000000000000009,0.0
1788589500,0.605,0.735,True,True,-0.13,-0.15000000000000002
1788585000,0.555,0.575,True,True,-0.019999999999999907,-0.0
1788584700,0.325,0.215,False,False,0.11000000000000001,0.1
1788587700,0.825,0.935,True,True,-0.1100000000000001,-0.1
1788587100,0.435,0.965,False,True,-0.53,-0.55
1788590400,0.495,0.565,True,True,-0.06999999999999995,-0.05
1788590100,0.445,0.685,False,True,-0.24000000000000005,-0.25
1788591300,0.595,0.785,False,True,-0.19000000000000006,-0.2
1788593400,0.735,0.855,True,True,-0.12,-0.1
1788590700,0.495,0.095,False,False,0.4,0.4
1788586200,0.735,0.595,True,True,0.14,0.15000000000000002
1788583800,0.585,0.105,True,False,0.48,0.5
1788591000,0.435,0.495,False,False,-0.06,-0.05
1788588000,0.775,0.775,True,False,0.0,0.0
1788589800,0.345,0.085,True,False,0.25999999999999995,0.25
1788593100,0.665,0.805,True,True,-0.14,-0.15000000000000002
1788592500,0.685,0.255,True,True,0.43000000000000005,0.45
1788596400,0.795,0.905,True,True,-0.10999999999999999,-0.1
1788595500,0.105,0.14,False,False,-0.03500000000000002,-0.05
1788591600,0.45,0.895,False,True,-0.445,-0.45
1788587400,0.255,0.125,False,False,0.13,0.15000000000000002
1788593700,0.115,0.205,True,True,-0.08999999999999998,-0.1
1788591900,0.925,0.735,True,True,0.19000000000000006,0.2
1788596100,0.915,0.895,True,False,0.020000000000000018,0.0
1788595200,0.315,0.79,False,True,-0.47500000000000003,-0.5
1788592800,0.375,0.525,False,False,-0.15000000000000002,-0.15000000000000002
1788592200,0.785,0.885,True,True,-0.09999999999999998,-0.1
1788585600,0.775,0.755,False,False,0.020000000000000018,0.0
1788594000,0.625,0.885,True,True,-0.26,-0.25
1788595800,0.235,0.215,False,False,0.01999999999999999,0.0
1788594300,0.195,0.225,False,False,-0.03,-0.05
1788594600,0.955,0.475,True,False,0.48,0.5
1788594900,0.645,0.245,False,False,0.4,0.4
1788597600,0.785,0.835,True,True,-0.04999999999999993,-0.05
1788597000,0.075,0.215,False,True,-0.14,-0.15000000000000002
1788601500,0.115,0.47,False,True,-0.355,-0.35000000000000003
1788602700,0.705,0.485,True,False,0.21999999999999997,0.2
1788599400,0.5,0.485,False,False,0.015000000000000013,0.0
1788596700,0.085,0.105,False,False,-0.01999999999999999,-0.0
1788597900,0.245,0.545,False,True,-0.30000000000000004,-0.30000000000000004
1788603000,0.225,0.155,False,False,0.07,0.05
1788598500,0.735,0.435,True,True,0.3,0.30000000000000004
1788601800,0.145,0.54,False,False,-0.395,-0.4
1788600300,0.765,0.695,False,False,0.07000000000000006,0.05
1788600900,0.435,0.22,True,True,0.215,0.2
1788598200,0.455,0.595,False,False,-0.13999999999999996,-0.15000000000000002
1788602100,0.675,0.725,True,False,-0.04999999999999993,-0.05
1788599100,0.945,0.935,True,True,0.009999999999999898,0.0
1788598800,0.445,0.66,True,True,-0.21500000000000002,-0.2
1788600600,0.485,0.545,True,True,-0.06000000000000005,-0.05
1788601200,0.285,0.505,False,True,-0.22000000000000003,-0.2
1788602400,0.085,0.205,False,False,-0.11999999999999998,-0.1
1788604200,0.865,0.465,False,False,0.39999999999999997,0.4
1788597300,0.185,0.31,False,False,-0.125,-0.1
1788605100,0.855,0.825,False,True,0.030000000000000027,0.05
1788603600,0.705,0.735,True,False,-0.030000000000000027,-0.05
1788606900,0.755,0.775,False,False,-0.020000000000000018,-0.0
1788607200,0.305,0.265,False,False,0.03999999999999998,0.05
1788600000,0.065,0.115,False,False,-0.05,-0.05
1788603300,0.345,0.385,False,False,-0.040000000000000036,-0.05
1788609900,0.965,0.965,True,True,0.0,0.0
1788603900,0.225,0.025,True,False,0.2,0.2
1788608100,0.865,0.625,True,True,0.24,0.25
1788599700,0.795,0.785,True,True,0.010000000000000009,0.0
1788604800,0.115,0.035,False,False,0.08,0.1
1788605700,0.865,0.705,True,True,0.16000000000000003,0.15000000000000002
1788606600,0.935,0.745,True,True,0.19000000000000006,0.2
1788606300,0.265,0.265,False,False,0.0,0.0
1788606000,0.905,0.685,True,False,0.21999999999999997,0.2
1788608700,0.245,0.265,False,False,-0.020000000000000018,-0.0
1788605400,0.405,0.505,False,False,-0.09999999999999998,-0.1
1788607500,0.565,0.485,True,False,0.07999999999999996,0.1
1788609600,0.095,0.105,False,False,-0.009999999999999995,-0.0
1788610200,0.685,0.545,True,True,0.14,0.15000000000000002
1788612000,0.335,0.885,True,True,-0.55,-0.55
1788611100,0.405,0.355,True,True,0.050000000000000044,0.05
1788604500,0.885,0.725,True,True,0.16000000000000003,0.15000000000000002
1788608400,0.495,0.385,False,True,0.10999999999999999,0.1
1788607800,0.455,0.775,False,True,-0.32,-0.30000000000000004
1788613200,0.865,0.795,False,False,0.06999999999999995,0.05
1788611700,0.205,0.235,True,True,-0.03,-0.05
1788609000,0.295,0.275,True,True,0.019999999999999962,0.0
1788615300,0.265,0.635,False,False,-0.37,-0.35000000000000003
1788610800,0.465,0.525,False,False,-0.06,-0.05
1788615000,0.315,0.105,False,False,0.21000000000000002,0.2
1788614100,0.255,0.275,True,True,-0.020000000000000018,-0.0
1788614700,0.915,0.925,True,True,-0.010000000000000009,-0.0
1788610500,0.135,0.105,False,False,0.030000000000000013,0.05
1788612300,0.965,0.94,True,True,0.025000000000000022,0.05
1788613500,0.445,0.445,False,True,0.0,0.0
1788612900,0.315,0.395,True,True,-0.08000000000000002,-0.1
