secs_before,target,own,other,coef_other,se,z,n
30,eth_up_resolved,p_eth_up,p_btc_up,0.7369849603269755,0.20091851150018256,3.668078938193337,3983
150,btc_up_resolved,p_btc_up,p_eth_up,0.7242033141045767,0.2440851437681281,2.9670110311692843,4017
120,btc_up_resolved,p_btc_up,p_eth_up,0.6835447461512076,0.24444811073940428,2.796277476163052,4017
270,eth_up_resolved,p_eth_up,p_btc_up,1.1203218418515233,0.473478169205717,2.3661531084546485,4017
240,eth_up_resolved,p_eth_up,p_btc_up,0.9836240374696547,0.47803074897991005,2.057658507467671,4016
90,eth_up_resolved,p_eth_up,p_btc_up,0.4330331388149574,0.21148894728599243,2.0475450106117132,4015
60,eth_up_resolved,p_eth_up,p_btc_up,0.4219417176070562,0.21153518333025517,1.9946644854265587,4016
210,btc_up_resolved,p_btc_up,p_eth_up,0.5005176466246652,0.30461510598793096,1.6431149893285202,4016
180,btc_up_resolved,p_btc_up,p_eth_up,0.4867994476234573,0.3059531875596764,1.5910912761074167,4017
30,btc_up_resolved,p_btc_up,p_eth_up,0.36252524349708504,0.2319387449437779,1.5630214933902544,3983
90,btc_up_resolved,p_btc_up,p_eth_up,0.08735762197814173,0.2193251759341624,0.3983018438538263,4015
270,btc_up_resolved,p_btc_up,p_eth_up,-0.16823748169241173,0.478147167065562,-0.3518529299774008,4017
240,btc_up_resolved,p_btc_up,p_eth_up,-0.13424702901896202,0.4802849171945765,-0.27951539640911705,4016
60,btc_up_resolved,p_btc_up,p_eth_up,0.059817765190262405,0.21950667340837846,0.2725100073790248,4016
180,eth_up_resolved,p_eth_up,p_btc_up,0.07276252693792483,0.31595470350683186,0.2302941723301533,4017
210,eth_up_resolved,p_eth_up,p_btc_up,0.05816506978033907,0.3150105580820905,0.18464482630192186,4016
150,eth_up_resolved,p_eth_up,p_btc_up,-0.0338527543096314,0.24773298967107749,-0.13665016659500503,4017
120,eth_up_resolved,p_eth_up,p_btc_up,-0.014760199454322316,0.247484881510617,-0.05964081265985983,4017
