sample,price,won
in_sample,0.96,True
in_sample,0.9699999861,True
in_sample,0.96,True
in_sample,0.94,True
in_sample,0.9838653094,True
in_sample,0.9399997744,True
in_sample,0.9699999951,True
in_sample,0.96,True
in_sample,0.9699999992,True
in_sample,0.92,True
in_sample,0.93,True
in_sample,0.99,True
in_sample,0.95,True
in_sample,0.98,True
in_sample,0.99,True
in_sample,0.95,True
in_sample,0.99,True
in_sample,0.97,True
in_sample,0.99,True
in_sample,0.948,True
in_sample,0.96,True
in_sample,0.97,True
in_sample,0.999,True
in_sample,0.93,True
in_sample,0.99,True
in_sample,0.99,True
in_sample,0.98,True
in_sample,0.92,True
in_sample,0.98,True
in_sample,0.98,True
in_sample,0.96,True
in_sample,0.992,True
in_sample,0.94,True
in_sample,0.97,True
in_sample,0.96,True
in_sample,0.9499997361,True
in_sample,0.91,True
in_sample,0.9399999991,True
in_sample,0.99,True
in_sample,0.91,True
in_sample,0.99,True
in_sample,0.99,True
in_sample,0.9499999971,True
in_sample,0.99,True
in_sample,0.9499995725,True
in_sample,0.97,True
oos,0.99,True
oos,0.9799991572,True
oos,0.93,True
oos,0.99,True
oos,0.96,True
oos,0.99,True
oos,0.99,True
oos,0.9733,True
oos,0.99,True
oos,0.949999525,True
oos,0.99,True
oos,0.99,True
oos,0.9699999871,True
oos,0.99,True
oos,0.99,True
oos,0.98,True
oos,0.97,True
oos,0.99,True
oos,0.9299999907,True
oos,0.92,True
oos,0.98,True
oos,0.99,True
oos,0.97,True
oos,0.96,True
oos,0.95,True
oos,0.96,True
oos,0.99,True
oos,0.9699999861,True
oos,0.92,True
oos,0.96,True
oos,0.9599998041,True
oos,0.99,True
oos,0.939999996,True
oos,0.9399999996,True
oos,0.9199999717,True
oos,0.99,True
oos,0.9199999816,True
oos,0.9699999981,True
oos,0.94,True
oos,0.99,True
oos,0.95,True
oos,0.9554076726,True
oos,0.98,True
oos,0.96,True
oos,0.99,True
oos,0.99,True
oos,0.9699999981,True
oos,0.998,True
oos,0.9699997866,True
oos,0.96,True
oos,0.9399999624,True
oos,0.971105,True
oos,0.98,True
oos,0.9699999951,True
oos,0.97,True
oos,0.9258337472,True
oos,0.99,True
oos,0.95,True
oos,0.97,True
oos,0.99,True
oos,0.99,True
oos,0.92,True
oos,0.9144983754,True
oos,0.98,True
oos,0.99,True
oos,0.96,True
oos,0.99,True
oos,0.98,True
oos,0.94,True
oos,0.94,True
oos,0.99,True
oos,0.91,True
oos,0.999,True
oos,0.99,True
oos,0.97,True
oos,0.999,True
oos,0.96,True
oos,0.91,True
oos,0.98,True
oos,0.99,True
oos,0.99,True
oos,0.999,True
oos,0.99,True
oos,0.96,True
oos,0.93,True
oos,0.95,True
oos,0.99,True
oos,0.99,True
oos,0.999,True
oos,0.99,True
oos,0.9699999904,True
oos,0.95,True
oos,0.9599998575,True
oos,0.99,True
oos,0.95,True
oos,0.95,True
oos,0.9799991572,True
oos,0.99,True
oos,0.99,True
oos,0.9399999811,True
oos,0.98,True
oos,0.99,True
oos,0.94,True
oos,0.95,True
oos,0.99,True
oos,0.9699999992,True
oos,0.97,True
oos,0.95,True
oos,0.93,True
oos,0.98,True
oos,0.96,True
oos,0.9787002844,True
oos,0.94,True
oos,0.93,False
oos,0.92,True
oos,0.95,True
oos,0.97,True
oos,0.99,True
oos,0.99,True
oos,0.9399999981,True
oos,0.99,True
oos,0.99,True
oos,0.96,True
oos,0.96,True
oos,0.929999833,True
oos,0.949999525,True
oos,0.95,True
oos,0.99,True
oos,0.998,True
oos,0.9699999879,True
oos,0.99,True
oos,0.9099999921,True
oos,0.99,True
oos,0.9335660493,True
oos,0.9699999992,True
oos,0.98,True
oos,0.9293799406,True
oos,0.96,True
oos,0.9099998835,True
oos,0.99,True
oos,0.96,True
oos,0.96,True
oos,0.99,True
oos,0.95,True
oos,0.9167300347,True
oos,0.9299999997,True
oos,0.96,True
oos,0.99,True
oos,0.98,True
oos,0.9299999907,True
oos,0.96,True
oos,0.94,True
oos,0.99,True
oos,0.99,True
oos,0.9399997744,True
oos,0.99,True
oos,0.99,True
oos,0.93,True
oos,0.99,True
oos,0.9699999992,True
oos,0.9099999974,True
oos,0.95,True
oos,0.95,True
oos,0.9399999987,True
oos,0.99,True
oos,0.9899999932,True
oos,0.99,True
oos,0.99,True
oos,0.93,True
oos,0.99,True
oos,0.99,True
oos,0.99,True
oos,0.96,True
oos,0.99,True
oos,0.99,True
oos,0.9399999705,True
oos,0.97,True
oos,0.99,True
oos,0.99,True
oos,0.9699992582,True
oos,0.96,True
oos,0.9454401059,True
oos,0.91,True
oos,0.9099999993,True
oos,0.99,True
oos,0.96,True
oos,0.9299998159,True
oos,0.97,True
oos,0.94,True
oos,0.97,True
oos,0.98,True
oos,0.98,True
oos,0.99,True
oos,0.949999525,True
oos,0.98,True
oos,0.919999994,True
oos,0.97,True
oos,0.93,True
oos,0.98,True
oos,0.92,True
oos,0.9099999993,True
oos,0.98,True
oos,0.99,True
oos,0.99,True
oos,0.9099999934,True
oos,0.98,True
oos,0.9399999624,True
oos,0.98,True
oos,0.93,False
oos,0.91,True
oos,0.98,True
oos,0.92,True
oos,0.98,True
oos,0.99,True
oos,0.99,True
oos,0.99,True
oos,0.99,True
oos,0.97,True
oos,0.99,True
oos,0.99,True
oos,0.99,True
oos,0.92,True
oos,0.99,True
oos,0.92,True
oos,0.99,True
oos,0.99,True
oos,0.99,True
