secs_before,bucket,n,win_rate,implied_mid,edge,se,z
30,0.9500000000000001,2698,0.994069681245367,0.9750000000000001,0.0190696812453669,0.0014781770666478942,12.900809839116079
60,0.9500000000000001,1159,0.9887834339948232,0.9750000000000001,0.013783433994823069,0.0030934195866006856,4.455727265233193
90,0.9500000000000001,1154,0.988734835355286,0.9750000000000001,0.013734835355285857,0.003106746266738544,4.420971066203182
120,0.9500000000000001,303,0.9900990099009901,0.9750000000000001,0.015099009900990001,0.005687970194271548,2.654551515793186
150,0.9500000000000001,301,0.9900332225913622,0.9750000000000001,0.015033222591362083,0.005725573788282251,2.62562725540775
270,0.7000000000000001,190,0.8,0.7250000000000001,0.07499999999999996,0.029019050004400464,2.584509141016915
210,0.6000000000000001,550,0.6709090909090909,0.6250000000000001,0.04590909090909079,0.02003588066193557,2.2913437988433163
180,0.6000000000000001,547,0.6709323583180987,0.6250000000000001,0.04593235831809861,0.02009038665575455,2.2862854311936336
30,0.8,132,0.8863636363636364,0.8250000000000001,0.06136363636363629,0.02762343379570442,2.2214340482600914
210,0.9,127,0.8582677165354331,0.925,-0.06673228346456694,0.030948807526476975,-2.15621501434189
180,0.9,129,0.8604651162790697,0.925,-0.0645348837209303,0.030507960575814938,-2.1153457164255705
240,0.7000000000000001,200,0.785,0.7250000000000001,0.05999999999999994,0.02904952667428507,2.0654381282264587
60,0.8,321,0.8598130841121495,0.8250000000000001,0.03481308411214945,0.019377745569848726,1.79654975789948
90,0.8,323,0.8575851393188855,0.8250000000000001,0.0325851393188854,0.01944531652592669,1.6757320085501937
60,0.8500000000000001,380,0.9,0.8750000000000001,0.02499999999999991,0.01538967528127731,1.6244657241348217
150,0.65,372,0.6370967741935484,0.675,-0.03790322580645167,0.024930250792667075,-1.520370818636146
60,0.6000000000000001,216,0.5740740740740741,0.6250000000000001,-0.05092592592592604,0.03364527865384327,-1.513612844460981
180,0.55,556,0.6061151079136691,0.5750000000000001,0.031115107913669005,0.020721673213759173,1.501573140001484
120,0.65,373,0.6380697050938338,0.675,-0.03693029490616628,0.024882391274493737,-1.484193962660756
120,0.75,392,0.7423469387755102,0.775,-0.032653061224489854,0.022089103028817215,-1.4782429681228346
90,0.6000000000000001,217,0.576036866359447,0.6250000000000001,-0.04896313364055316,0.03354743494656743,-1.4595194451837834
90,0.8500000000000001,378,0.8968253968253969,0.8750000000000001,0.021825396825396748,0.01564568034054222,1.3949790837053724
150,0.75,396,0.7449494949494949,0.775,-0.030050505050505105,0.02190427665244015,-1.3719012742270793
30,0.9,314,0.9426751592356688,0.925,0.017675159235668758,0.013118604404237875,1.3473353331669122
210,0.55,559,0.6028622540250447,0.5750000000000001,0.027862254025044608,0.020695395281609196,1.346302095027109
240,0.65,411,0.7031630170316302,0.675,0.028163017031630155,0.022535443211876956,1.2497210179912182
